Christianity
Islam
Secular/Nonreligious/Agnostic/Atheist
Hinduism
Buddhism
Chinese traditional religion
Ethnic religions excluding some in separate categories
African traditional religions
Sikhism
Spiritism
Judaism
Bahá'í
Jainism
Shinto
Cao Dai
Zoroastrianism
Tenrikyo
Neo-Paganism
Unitarian Universalism
Rastafari
